epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.599,1.2126,1.67292,1.12119,0.98119,0.97013,0.98952,0.65586,1.13494,0.77971,1.06334,0.00332526,0.00332526,0.00332526
2,83.258,1.17006,0.83497,1.07262,0.98781,0.97201,0.99172,0.67673,1.1181,0.6501,1.07246,0.00659268,0.00659268,0.00659268
3,161.874,1.20016,0.73929,1.10153,0.97772,0.97301,0.99197,0.66949,1.15362,0.63535,1.09798,0.00979409,0.00979409,0.00979409
4,240.247,1.19041,0.67752,1.10329,0.97904,0.98092,0.98868,0.66816,1.14697,0.62958,1.08594,0.009703,0.009703,0.009703
5,318.309,1.1681,0.6362,1.09702,0.98924,0.9796,0.99391,0.69096,1.13213,0.54176,1.08161,0.009604,0.009604,0.009604
6,398.991,1.14956,0.60263,1.0887,0.97724,0.97882,0.98851,0.67801,1.12682,0.53299,1.07821,0.009505,0.009505,0.009505
7,480.734,1.14264,0.58493,1.0851,0.98546,0.985,0.99259,0.69963,1.10164,0.52273,1.07605,0.009406,0.009406,0.009406
8,562.461,1.12455,0.56965,1.08189,0.98797,0.9857,0.99364,0.70454,1.11335,0.50082,1.07617,0.009307,0.009307,0.009307
9,4170.41,1.12173,0.56176,1.08164,0.98291,0.9754,0.9899,0.69196,1.10213,0.51741,1.08051,0.009208,0.009208,0.009208
10,4259.18,1.11368,0.55525,1.07494,0.98568,0.9856,0.9938,0.70662,1.1017,0.49189,1.06848,0.009109,0.009109,0.009109
11,4358.27,1.11102,0.54417,1.07637,0.99212,0.9826,0.99395,0.71026,1.07173,0.48791,1.06003,0.00901,0.00901,0.00901
12,4457,1.09425,0.5291,1.06505,0.98917,0.98649,0.99412,0.71027,1.08079,0.46493,1.05203,0.008911,0.008911,0.008911
13,4541.77,1.09434,0.53169,1.06052,0.98646,0.9892,0.99299,0.70997,1.09672,0.46614,1.05513,0.008812,0.008812,0.008812
14,4640.27,1.09529,0.52652,1.06366,0.9878,0.988,0.99335,0.70095,1.09627,0.46597,1.05592,0.008713,0.008713,0.008713
15,4738.63,1.08134,0.51455,1.05929,0.99515,0.9844,0.99447,0.71168,1.09407,0.46095,1.07418,0.008614,0.008614,0.008614
16,4838.54,1.0865,0.51361,1.06053,0.99036,0.986,0.99436,0.72237,1.07576,0.44916,1.05371,0.008515,0.008515,0.008515
17,4938.14,1.07891,0.50442,1.05345,0.99214,0.98389,0.9935,0.71905,1.07954,0.45427,1.05701,0.008416,0.008416,0.008416
18,5039.83,1.07595,0.50164,1.05698,0.98942,0.9886,0.99441,0.71537,1.07937,0.4402,1.04877,0.008317,0.008317,0.008317
19,5141.29,1.06996,0.49584,1.05072,0.99099,0.99014,0.9939,0.72011,1.05938,0.4452,1.0476,0.008218,0.008218,0.008218
20,5241.41,1.06027,0.49213,1.04539,0.98873,0.9898,0.99414,0.73351,1.06671,0.43623,1.04544,0.008119,0.008119,0.008119
21,5342.01,1.06693,0.48808,1.04434,0.99181,0.9964,0.9938,0.7207,1.06075,0.4289,1.03938,0.00802,0.00802,0.00802
22,5451.37,1.06438,0.48592,1.04439,0.99339,0.99117,0.9947,0.72016,1.06901,0.4233,1.0407,0.007921,0.007921,0.007921
23,5547.87,1.05588,0.47803,1.03906,0.99085,0.9886,0.99362,0.72949,1.05665,0.41934,1.03657,0.007822,0.007822,0.007822
24,5637.76,1.04399,0.4763,1.03727,0.9922,0.99251,0.99349,0.72732,1.06542,0.42335,1.03539,0.007723,0.007723,0.007723
25,5737.41,1.04086,0.47163,1.03921,0.99579,0.99273,0.99493,0.73429,1.04488,0.41393,1.03909,0.007624,0.007624,0.007624
26,5841.26,1.05004,0.47614,1.03861,0.9939,0.9862,0.99471,0.73548,1.05546,0.413,1.04139,0.007525,0.007525,0.007525
27,5953.71,1.04891,0.46738,1.03632,0.9934,0.99357,0.99443,0.7358,1.0541,0.40228,1.03627,0.007426,0.007426,0.007426
28,6068.32,1.03101,0.46191,1.03319,0.99214,0.9916,0.99387,0.73119,1.053,0.40313,1.03377,0.007327,0.007327,0.007327
29,6221.75,1.03678,0.46378,1.03244,0.99339,0.99209,0.99387,0.7328,1.05799,0.4169,1.04501,0.007228,0.007228,0.007228
30,6370.44,1.03711,0.46026,1.0326,0.9924,0.991,0.99436,0.73504,1.05609,0.40244,1.04311,0.007129,0.007129,0.007129
31,6528.43,1.0366,0.45866,1.03247,0.9928,0.99286,0.9943,0.73751,1.04311,0.40458,1.03423,0.00703,0.00703,0.00703
32,6687.71,1.03363,0.46013,1.03593,0.99413,0.9922,0.99434,0.73465,1.04561,0.41373,1.03848,0.006931,0.006931,0.006931
33,6842.54,1.02864,0.45362,1.03087,0.994,0.99412,0.99428,0.73135,1.04571,0.39934,1.03872,0.006832,0.006832,0.006832
34,6977.93,1.02924,0.45185,1.03676,0.99505,0.9928,0.99406,0.7377,1.05074,0.39235,1.03573,0.006733,0.006733,0.006733
35,7116.11,1.02689,0.45252,1.02974,0.9946,0.99443,0.99422,0.73638,1.04051,0.39318,1.02531,0.006634,0.006634,0.006634
36,7258.29,1.0142,0.44747,1.0237,0.99103,0.99391,0.99386,0.73845,1.04156,0.38275,1.02902,0.006535,0.006535,0.006535
37,7403.75,1.02074,0.44252,1.02768,0.99504,0.9928,0.99407,0.74281,1.03586,0.38546,1.02036,0.006436,0.006436,0.006436
38,7548.29,1.01629,0.44252,1.02399,0.99237,0.9934,0.99415,0.73874,1.03461,0.38297,1.02496,0.006337,0.006337,0.006337
39,7699.29,1.01559,0.43838,1.02238,0.99281,0.99455,0.99391,0.74417,1.03384,0.3839,1.02148,0.006238,0.006238,0.006238
40,7846.19,1.01657,0.44066,1.02461,0.9934,0.99264,0.99359,0.7411,1.03321,0.37859,1.01996,0.006139,0.006139,0.006139
41,7995.67,1.00654,0.43716,1.02018,0.99339,0.99182,0.9941,0.73857,1.03556,0.37996,1.02747,0.00604,0.00604,0.00604
42,8146.05,1.00102,0.43781,1.01831,0.99517,0.9928,0.99422,0.74471,1.03381,0.3773,1.02863,0.005941,0.005941,0.005941
43,8292.91,1.01485,0.43614,1.02376,0.99371,0.9946,0.99425,0.74294,1.02358,0.37025,1.01897,0.005842,0.005842,0.005842
44,8407.33,1.00175,0.43106,1.01523,0.99459,0.99222,0.99396,0.73956,1.03539,0.37426,1.02076,0.005743,0.005743,0.005743
45,8507.58,1.00815,0.43422,1.02302,0.9952,0.99404,0.99422,0.74543,1.03555,0.37013,1.02572,0.005644,0.005644,0.005644
46,8607.15,1.01042,0.43073,1.02007,0.99579,0.99281,0.99442,0.73692,1.03243,0.3705,1.02209,0.005545,0.005545,0.005545
